,,,,,,,,,,,,,,,,,,
AvgCommunicate_57992_Content_1,abGc,avg通讯器聊天表_AvgCommunicate_A_M.csv,494,AvgCommunicate,Content,哈姆林,这里的音乐教室堪称简陋。,The music room here can only be called rudimentary.,Музыкальный класс здесь можно назвать скромным.,El aula de música aquí es bastante simple,ここにある音楽室は簡陋だ。,여기의 음악 교실은 상당히 초라하다.,La salle de musique ici est rudimentaire,Der Musikraum hier ist ziemlich einfach,Aqui a sala de música é muito simples,ห้องดนตรีที่นี่ค่อนข้างเรียบง่าย,Ruang musik di sini bisa dianggap sangat sederhana.,Phòng học nhạc ở đây có thể nói là thô sơ.
AvgCommunicate_66999_Content_2,abZQ,avg通讯器聊天表_AvgCommunicate_A_M.csv,1116,AvgCommunicate,Content,哈姆林,录音时朵尔教授还提到，校方制作出了一款新型的录音机，体型小巧，音质细腻，甚至可以在出任务时随身携带，有录音和播放的功能。,"“During the recording session, Professor Doll also mentioned that the school had developed a new type of recorder. It is small in size, with clear audio quality, and can even be carried during missions, featuring both recording and playback functions.”","Во время записи профессор Дора упомянул, что администрация школы создала новую модель диктофона, компактную и с высоким качеством звука, которую можно носить с собой даже во время выполнения задач, с функциями записи и воспроизведения.","Mientras grababa, el profesor Muñeca mencionó que la escuela había fabricado un nuevo tipo de grabadora, pequeña y con calidad de sonido delicada, que incluso se puede llevar durante las misiones, con funciones de grabación y reproducción",録音時にドル教授は、校方が新しいタイプの録音機を制作したと述べました。その録音機は小型で、音質が細やかであり、任務中に持ち歩くこともできます。録音と再生の機能があります。,"녹음할 때 돌 교수는 핸드헬드 사이즈의 새로운 녹음기를 언급했습니다. 이 녹음기는 작고 음질이 섬세하며, 태스크 중에도 휴대 가능하고 녹음과 재생 기능을 갖추고 있습니다.","Lors de l'enregistrement, le professeur poupée a également mentionné que l'école avait fabriqué un nouveau type de dictaphone, de petite taille, avec un son délicat, pouvant même être porté lors de missions, avec des fonctions d'enregistrement et de lecture","Professor Puppe erwähnte während der Aufnahme, dass die Schule einen neuen Typ von Aufnahmegerät entwickelt hat, das klein ist, einen feinen Klang hat und sogar bei Einsätzen tragbar ist, mit Aufnahme- und Wiedergabefunktion","Enquanto gravava, a professora Boneca mencionou que a instituição criou um novo tipo de gravador, pequeno e com som detalhado, que pode ser levado em missões, com funções de gravação e reprodução",ขณะบันทึกเสียง ศาสตราจารย์ดอร์ได้กล่าวถึงเรื่องที่ทางมหาวิทยาลัยได้พัฒนาเครื่องบันทึกเสียงรุ่นใหม่ขึ้นมา ซึ่งมีขนาดเล็กกะทัดรัด คุณภาพเสียงละเอียด และสามารถพกพาติดตัวไปได้แม้ในระหว่างการปฏิบัติภารกิจ โดยมีฟังก์ชันในการบันทึกและเล่นเสียง.,"Saat merekam, Profesor Boneka juga menyebutkan bahwa pihak sekolah telah mengembangkan sebuah mesin perekam model baru. Mesin ini berukuran kecil, dengan kualitas suara yang jernih, bahkan dapat dibawa saat menjalankan misi. Alat tersebut memiliki fungsi rekaman dan pemutaran.","Trong quá trình ghi âm, Giáo sư đóa đã đề cập rằng trường đã chế tạo ra một loại máy ghi âm mới, có kích thước nhỏ gọn, âm thanh rõ nét và chi tiết, thậm chí có thể mang theo người khi thực hiện nhiệm vụ, có chức năng ghi âm và phát lại."
AvgCommunicate_66999_Content_3,abZR,avg通讯器聊天表_AvgCommunicate_A_M.csv,1117,AvgCommunicate,Content,哈姆林,我看到后就想到了你，如果需要的话，我可以为你录制你想听的乐曲。,"“When I saw it, I thought of you. If needed, I can make a record of the pieces you like to listen to.”","Увидев это, я вспомнил о тебе. Если тебе нужно, я могу записать для тебя музыку, которую ты хочешь послушать.","Pensé en ti cuando lo vi, y si lo necesitas, puedo grabar la música que quieres escuchar",私が見たらあなたを思い出しました。必要なら、あなたが聴きたい曲を録音することができます。,"나는 보고 당신을 생각했습니다. 필요해요, 당신이 듣고 싶은 곡을 녹음해드릴 수 있습니다.","Je pensais à toi en le voyant, si besoin, je peux enregistrer la musique que tu veux entendre","Ich dachte an dich, als ich es sah, wenn nötig, kann ich dir die Musik aufnehmen, die du hören möchtest","Assim que vi, pensei em você; se precisar, posso gravar as músicas que você gosta de ouvir",เมื่อฉันเห็นมัน ฉันก็คิดถึงคุณ ถ้าคุณอยากได้ ฉันสามารถบันทึกเพลงที่คุณอยากฟังให้คุณได้,"Setelah melihatnya, aku langsung teringat padamu. Jika kamu membutuhkannya, aku bisa merekam lagu yang ingin kamu dengar.","Tôi đã nghĩ đến bạn ngay khi thấy, nếu bạn muốn, tôi có thể ghi âm những bản nhạc mà bạn muốn nghe."
AvgCommunicate_66999_Content_4,abZS,avg通讯器聊天表_AvgCommunicate_A_M.csv,1118,AvgCommunicate,Content,哈姆林,这样即使有时我不在你的身边，也不会担心没有音乐来抚慰你的灵魂。,"“This way, even when I'm not by your side, you needn’t worry about lacking the music to soothe your soul.”","Так что даже когда меня иногда нет рядом с тобой, ты не будешь беспокоиться о том, что нет музыки, чтобы успокоить душу.","Así, incluso cuando a veces no esté a tu lado, no tendrás que preocuparte por la falta de música que consuele tu alma",こうすれば、私が時々あなたのそばにいなくても、音楽があなたのソウルをなぐさめるので心配する必要はありません。,이렇게 하면 내가 가끔 당신 곁에 있지 않아도 음악이 당신의 영혼을 위로하지 않을까 봐 걱정할 필요가 없습니다.,"Ainsi, même quand je ne suis pas près de toi, tu ne devras pas t'inquiéter de l'absence de musique pour apaiser ton âme","So wird es auch, wenn ich manchmal nicht bei dir bin, keine Sorge geben, dass dir die Musik fehlt, um deine Seele zu trösten","Assim, mesmo quando eu não estiver ao seu lado, você não precisará se preocupar em estar sem música para acalmar sua alma",แบบนี้แม้ว่าบางครั้งฉันจะไม่ได้อยู่ข้างๆ คุณ ก็ไม่ต้องกังวล เพราะยังมีดนตรีปลอบประโลมวิญญาณของคุณ。,"Jadi, meskipun terkadang aku tidak berada di sisimu, kamu tidak perlu khawatir karena musik akan tetap menenangkan jiwamu.","Như vậy, ngay cả khi đôi lúc tôi không ở bên cạnh bạn, bạn cũng sẽ không phải lo lắng về việc không có âm nhạc để xoa dịu linh hồn của bạn."
AvgCommunicate_66999_Option_5,acah,avg通讯器聊天表_AvgCommunicate_A_M.csv,1119,AvgCommunicate,Option,玩家,哈姆林……我好感动！,Hameln... I'm so moved!,Хамлин... Я так растроган.,¡Hameln... me siento tan conmovido!,ハムリン……感動しました！,함린…… 정말 감동적이야!,Hameln... je suis tellement touché !,Hameln... ich bin so berührt!,Hameln... estou tão emocionado!,แฮมลิน... ฉันซาบซึ้งมาก!,Hameln... aku sangat tersentuh!,Hamlin… Tôi rất cảm động!
AvgCommunicate_66999_Content_5,abZT,avg通讯器聊天表_AvgCommunicate_A_M.csv,1119,AvgCommunicate,Content,玩家,哈姆林……我好感动！,Hameln... I'm so moved!,Хамлин... Я так растроган.,¡Hameln... me siento tan conmovido!,ハムリン……感動しました！,함린…… 정말 감동적이야!,Hameln... je suis tellement touché !,Hameln... ich bin so berührt!,Hameln... estou tão emocionado!,แฮมลิน... ฉันซาบซึ้งมาก!,Hameln... aku sangat tersentuh!,Hamlin… Tôi rất cảm động!
AvgCommunicate_66999_Content_6,abZU,avg通讯器聊天表_AvgCommunicate_A_M.csv,1120,AvgCommunicate,Content,哈姆林,这都是我应尽的职责，那么，有什么想听的吗？,"It's simply part of my duty. Well then, is there anything you wish to listen to?","Это всё мои обязанности, так что, есть что-нибудь, что вы хотели бы послушать?","Esto son mis responsabilidades, así que, ¿hay algo que quieras escuchar?",これは私の務めですので、何か聞きたいことがありますか？,"이것은 제가 해야 할 의무입니다. 그렇다면, 듣고 싶은 것이 있나요?","C'est mon devoir, alors, y a-t-il quelque chose que vous souhaitez entendre ?","Das ist meine Pflicht, also gibt es etwas, das du hören möchtest?","Isso é tudo o que devo fazer, então, o que você gostaria de ouvir?",ทั้งหมดนี้เป็นหน้าที่ของฉัน แล้วคุณมีอะไรที่อยากฟังหรือเปล่า?,"Ini semua adalah tugasku. Lalu, apakah ada sesuatu yang ingin kamu dengar?","Đây đều là trách nhiệm của tôi, vậy, bạn có điều gì muốn nghe không?"
AvgCommunicate_66999_Option_7,acaj,avg通讯器聊天表_AvgCommunicate_A_M.csv,1121,AvgCommunicate,Option,玩家,有助睡眠的音乐,Soporific music.,Музыка для сна,Música que ayuda a dormir,睡眠を助ける音楽,수면에 도움이 되는 음악,Musique favorisant le sommeil,Musik zur Förderung des Schlafs,Música para ajudar a dormir,เพลงสำหรับการผ่อนคลายและนอนหลับ,Musik yang membantu tidur,Nhạc giúp ngủ ngon
AvgCommunicate_66999_Content_7,abZV,avg通讯器聊天表_AvgCommunicate_A_M.csv,1121,AvgCommunicate,Content,玩家,说起来，每次听你吹奏摇篮曲的时候，我都会睡得很好。,"“Speaking of which, I always sleep well whenever you perform the lullaby.”","Кстати, каждый раз, когда я слушаю, как ты играешь колыбельную, я прекрасно сплю.","Hablando de eso, cada vez que te escucho tocar la canción de cuna, duermo muy bien",そういえば、君がクレードルを吹いてくれるたびに、私はよく眠れるんだ。,"말해보면, 당신이 요람을 불러줄 때마다 나는 항상 잘 자게 돼요.","En parlant de cela, chaque fois que je t'entends jouer une berceuse, je m'endors très bien","Übrigens, jedes Mal, wenn ich dich Wiegenlieder spielen höre, schlafe ich sehr gut","Falando nisso, sempre durmo muito bem quando você toca a canção de ninar",พูดถึงเรื่องนี้ ทุกครั้งที่ได้ยินคุณเป่าเพลงกล่อมเด็ก ฉันมักจะนอนหลับได้อย่างสบายใจ,"Ngomong-ngomong, setiap kali mendengarmu memainkan lagu nina bobo, aku selalu tidur dengan nyenyak.","Nói đến việc mỗi lần nghe bạn hát nhạc ru, tôi đều ngủ rất ngon."
AvgCommunicate_66999_Content_8,abZW,avg通讯器聊天表_AvgCommunicate_A_M.csv,1122,AvgCommunicate,Content,玩家,这首曲子有什么特别的吗？,What's makes it so special?,Есть ли что-то особенное в этой мелодии?,¿Hay algo especial en esta melodía?,この曲には何か特別なところがありますか？,이 곡에 특별한 점이 있나요?,Cette pièce musicale a-t-elle quelque chose de spécial ?,Gibt es etwas Besonderes an diesem Stück Musik?,Esta música tem algo especial?,เพลงนี้มีอะไรพิเศษ?,Apakah ada yang spesial dari lagu ini?,Bài hát này có gì đặc biệt không?
AvgCommunicate_66999_Content_9,abZX,avg通讯器聊天表_AvgCommunicate_A_M.csv,1123,AvgCommunicate,Content,哈姆林,要这一首吗？我明白了。,You wish to hear that one? Understood.,Вот эта? Я понял.,¿Quieres esta canción? Lo entiendo,この曲を選びますか？わかりました。,이 노래를 원하세요? 알겠습니다.,Tu veux celle-ci ? J'ai compris,Möchtest du dieses Lied? Ich verstehe,Quer essa? Eu entendi,เอาเพลงนี้หรือเปล่า? ฉันเข้าใจแล้ว。,Apakah ini yang kamu maksud? Aku mengerti.,Bạn muốn bài này phải không?” Tôi hiểu rồi.
AvgCommunicate_66999_Content_10,abZL,avg通讯器聊天表_AvgCommunicate_A_M.csv,1124,AvgCommunicate,Content,哈姆林,如果非要说特别之处，大概是充满了我守护你的心情吧。,"If I must name what’s special about it, it must be because it’s brimming with my need to protect you. ","Если говорить о чем-то особенном, наверное, это полностью пронизано моим стремлением защищать тебя.","Si tengo que mencionar algo especial, probablemente sea que está lleno de mis sentimientos por protegerte",もし特別なところを言うなら、きっとあなたをガードしたいという気持ちで満ちていることでしょう。,"만약 특별한 점을 꼽자면, 아마도 당신을 수호하고 싶은 마음으로 가득 차 있기 때문이에요.","S'il fallait mentionner quelque chose de particulier, ce serait probablement l'émotion que j'éprouve en veillant sur toi","Wenn ich etwas Besonderes herausstellen müsste, dann wäre es wohl das Gefühl, dass ich dich beschütze","Se tivesse que dizer alguma particularidade, provavelmente seria repleta da emoção de eu estar te protegendo",ถ้าจะบอกว่ามีอะไรพิเศษ ก็คงเป็นเพราะเต็มไปด้วยความตั้งใจที่จะปกป้องคุณล่ะ,"Jika harus menyebutkan sesuatu yang istimewa, mungkin itu adalah perasaan penuh keinginan untuk melindungimu.","Nếu nhất định phải nói đến điểm đặc biệt, có lẽ chính là tình cảm mà tôi dành để bảo vệ bạn."
AvgCommunicate_66999_Option_11,acaa,avg通讯器聊天表_AvgCommunicate_A_M.csv,1125,AvgCommunicate,Option,玩家,帮助起床的音乐,Music that helps me get out of bed. ,"Музыка, помогающая проснуться",Música para despertar,起床を助ける音楽,기상 돕는 음악,Aide à la musique pour se lever,Hilfe beim Aufstehen,Música para ajudar a levantar,เพลงช่วยตื่นนอน,Musik untuk membantu bangun tidur,Nhạc giúp thức dậy
AvgCommunicate_66999_Content_11,abZM,avg通讯器聊天表_AvgCommunicate_A_M.csv,1125,AvgCommunicate,Content,玩家,其实我一直都有点起床困难，如果有那种令人振奋的音乐，起床应该会容易一些吧！,"“Actually, I’ve always had a bit of trouble getting up. If I had some rousing music, it would probable be easier to get out of bed!”","На самом деле, у меня всегда немного сложность с подъемом, если бы была какая-нибудь взбодряющая музыка, подниматься, наверное, было бы легче!","En realidad, siempre he tenido un poco de dificultad para levantarme. Si tuviera música estimulante, levantarme debería ser un poco más fácil, ¿verdad?",実は、いつも少し起きるのが難しいんです。もし元気になれる音楽があれば、起きるのも楽になるかもしれないですね！,"사실 저는 항상 조금 일어나기 어려움을 겪었어요. 만약 기분을 북돋아주는 음악이 있다면, 아침에 일어나는 것이 더 쉬울 거라고 생각해요.","En fait, j'ai un peu de mal à me lever, si j'avais une musique entraînante, ça devrait être plus facile de me lever !","Eigentlich habe ich immer ein wenig Schwierigkeiten, aufzustehen. Wenn es eine erfrischende Musik gäbe, wäre es vielleicht einfacher aufzustehen!","Na verdade, sempre tenho um pouco de dificuldade para levantar. Se houvesse aquela música estimulante, levantar seria mais fácil, não seria?",จริงๆ แล้วฉันมักจะตื่นนอนยากอยู่เสมอ ถ้ามีเพลงที่ทำให้รู้สึกฮึกเหิม การตื่นนอนคงจะง่ายขึ้นใช่ไหม!,"Sebenarnya aku selalu mengalami kesulitan untuk bangun, jika ada musik yang menggembirakan, bangun tentunya akan lebih mudah, bukan?!","Thực ra, tôi luôn có chút khó khăn khi thức dậy. Nếu có loại nhạc khiến người ta phấn chấn, việc thức dậy chắc sẽ dễ dàng hơn nhỉ!"
AvgCommunicate_66999_Content_12,abZN,avg通讯器聊天表_AvgCommunicate_A_M.csv,1126,AvgCommunicate,Content,哈姆林,令人振奋吗？我明白了。,“Rousing? Understood.”,Возбуждающе? Понял.,¿Es emocionante? Lo entiendo,興奮しますか？わかりました。,흥분되시나요? 알겠습니다.,"C'est excitant, n'est-ce pas ? Je comprends","Erfreulich, nicht wahr? Ich habe es verstanden","É emocionante, não? Eu entendi",น่าตื่นเต้นไหม? ผมเข้าใจแล้ว,Menggembirakan? Aku mengerti.,Có phấn khởi không? Tôi hiểu rồi.
AvgCommunicate_66999_Content_13,abZO,avg通讯器聊天表_AvgCommunicate_A_M.csv,1127,AvgCommunicate,Content,哈姆林,虽然我觉得充足良好的睡眠才是更重要的，但毕竟你肩负了如此多的责任，忙碌也是在所难免。,"“Even though I think it’s more important to get quality sleep, you shoulder such numerous burdens that business is unavoidable.”","Хотя я считаю, что достаточный и качественный сон важнее, но всё же у тебя на плечах столько ответственности, что занятость неизбежна.","Aunque creo que un buen sueño es lo más importante, después de todo, tienes tantas responsabilidades, la ocupación es inevitable",十分の睡眠が重要だとは思うが、あなたは多くの責任を担っており、忙しいのもやむを得ないだろう。,"Although I think sufficient and good sleep is more important, since you bear so many responsibilities, being busy is inevitable.","Bien que je pense qu'un sommeil suffisant et de qualité est plus important, tu portes tant de responsabilités, il est inévitable d'être occupé","Obwohl ich denke, dass ausreichender Schlaf wichtiger ist, trägst du schließlich so viele Verpflichtungen, ist es unvermeidlich, beschäftigt zu sein","Embora eu ache que ter um sono bom e adequado seja mais importante, você tem tantas responsabilidades, estar ocupado é inevitável",แม้ว่าฉันจะคิดว่าการนอนหลับที่เพียงพอและมีคุณภาพดีนั้นสำคัญกว่า แต่ในเมื่อคุณแบกรับความรับผิดชอบมากมาย การยุ่งจนแทบไม่มีเวลาพักก็คงจะเป็นเรื่องที่หลีกเลี่ยงไม่ได้,"Meskipun saya merasa tidur yang cukup dan berkualitas lebih penting, namun karena kamu memiliki begitu banyak tanggung jawab, kesibukan memang tidak terhindarkan.","Mặc dù tôi nghĩ rằng giấc ngủ đầy đủ và chất lượng là điều quan trọng hơn, nhưng vì bạn đã gánh vác nhiều trách nhiệm như vậy, bận rộn là điều khó tránh."
AvgCommunicate_66999_Content_14,abZP,avg通讯器聊天表_AvgCommunicate_A_M.csv,1128,AvgCommunicate,Content,哈姆林,希望这首进行曲能够带给你力量。,“May this march lend you strength!”,"Надеюсь, этот марш придаст тебе силы.",Espero que esta marcha pueda darte fuerzas,この進行曲があなたにパワーをもたらすことを願っています。,이 행진곡이 당신에게 힘을 줄 수 있기를 바랍니다.,J'espère que cette marche militaire pourra te donner de la force,"Ich hoffe, dieser Marsch gibt dir Kraft",Espero que esta marcha te traga poder,หวังว่าเพลงมาร์ชนี้จะมอบพละกำลังให้กับคุณ。,Semoga lagu mars ini dapat memberikanmu kekuatan.,Hy vọng bản hành khúc này sẽ mang lại sức mạnh cho bạn.
,,,,,,,,,,,,,,,,,,
AvgCommunicate_67000_Content_1,acam,avg通讯器聊天表_AvgCommunicate_A_M.csv,1771,AvgCommunicate,Content,哈姆林,%player%%sirormadam%，最近我又创作了一首新的曲子，想请你在闲暇时间来点评一二。,"{Male=Mr.,Female=Miss} %player%, “Recently, I've composed a new piece and would like to invite you to give it a listen and critique in your free time.”","%player%%sirormadam%, недавно я сочинил новую мелодию и хотел бы попросить вас в свободное время оценить её.","%player%%sirormadam%，recientemente he creado una nueva canción, me gustaría que la comentaras en tu tiempo libre",%player%%sirormadam%、最近また新しい曲を作りました。暇なときに感想を聞かせてもらえませんか。,"%player%%sirormadam%, 최근에 새로운 곡을 하나 만들었는데, 여유 시간에 들려주시고 평가를 부탁드립니다.","%player%%sirormadam%， récemment, j'ai composé une nouvelle musique et j'aimerais que tu donnes ton avis quand tu as du temps libre","%player%%sirormadam%， kürzlich habe ich ein neues Stück komponiert und möchte dich bitten, es in deiner Freizeit zu kommentieren","%player%%sirormadam%, recentemente criei uma nova música e gostaria que você a comentasse em seu tempo livre",%player%%sirormadam%，ช่วงนี้ฉันได้สร้างสรรค์เพลงใหม่อีกแล้ว อยากให้คุณมาช่วยดูให้หน่อยในเวลาว่าง,%player%%sirormadam%，akhir-akhir ini saya telah menciptakan sebuah komposisi baru dan ingin mengundang Anda untuk memberikan beberapa masukan di waktu senggang Anda.,"%player%%sirormadam%,gần đây tôi đã sáng tác một bài hát mới, muốn mời bạn dành thời gian rảnh rỗi bình luận giúp tôi một chút."
AvgCommunicate_67000_Option_2,acaC,avg通讯器聊天表_AvgCommunicate_A_M.csv,1772,AvgCommunicate,Option,玩家,你真是太客气了。,You really are too polite.,Вы очень любезны.,Eres realmente muy cortés,本当にありがとうございます。,너 정말 고마워.,Tu es vraiment trop poli,Du bist wirklich zu höflich,Você é realmente muito educado,คุณสุภาพมาก,Kamu benar-benar sangat ramah.,Bạn thật là tử tế.
