CHARACTER,CHARACTER,CHINESE,ENGLISH,ENGLISH->SPANISH,CHINESE->SPANISH,SPANISH
朵尔,#REF!,生理剖析,Physiological Analysis,Análisis fisiológico,Análisis fisiológico,Análisis fisiológico
朵尔,#REF!,外域灌注,Outland Infusion,Infusión de Terrallende,Infusión de Terrallende,Infusión de Terrallende
雷娅,#REF!,献媚者之拥,Flatterer's Embrace,El abrazo del adulador,El abrazo del adulador,Abrazo del Adulador
雷娅,#REF!,凝血治疗,Healing Coagulation,Coagulación curativa,Terapia de coagulación,Coagoulación curativa
雷娅,#REF!,欢愉果实,Fruit of Joy,Fruto de la alegría,Fruto de la alegría,Fruto de la alegría
雷娅,#REF!,渴血狂欢,Bloodlust Carnival,Carnaval de sed de sangre,Carnaval sanguinario,Carnaval sanguinario
尤乌哈希,#REF!,血与沙的赞歌,Hymn of Blood and Sand,Himno de sangre y arena,Himno de sangre y arena,Himno de sangre y arena
尤乌哈希,#REF!,血之宣告,Bloody Proclamation,Proclamación sangrienta,Declaración de sangre,Declaración de sangre
尤乌哈希,#REF!,尖啸,Shriek,Grito,Gritar,Grito
尤乌哈希,#REF!,血的悲歌,Dirge of Blood,Dirge de sangre,Elegía de sangre,Elegía de Sangre
尤乌哈希,#REF!,沸血,Boiling Blood,Sangre hirviendo,Sangre hirviendo,Sangre hirviendo
希洛,#REF!,绝境求生,Surviving Impasse,Sobreviviendo al impasse,Supervivencia desesperada,Supervivencia desesperada
希洛,#REF!,恨意翻涌,Surging Hatred,Odio creciente,Oleada de odio,Odio creciente
希洛,#REF!,宣战,War Declaration,Declaración de Guerra,Declaración de guerra,Declaración de Guerra
希洛,#REF!,恨怨,Hatred and Resentment,Odio y resentimiento,odio y resentimiento,Odio y resentimiento
血链·希洛,#REF!,血海深仇,Blood Feud,Disputa de sangre,Disputa de sangre,Disputa de sangre
血链·希洛,#REF!,链锤重创,Hammerstrike,Golpe de martillo,Martillo de cadena,Golpe de martillo
血链·希洛,#REF!,不定之链,Chain of Uncertainty,Cadena de incertidumbre,Cadena incierta,Cadena de incertidumbre
血链·希洛,#REF!,旋动链条,Spinning Chains,Cadenas giratorias,Cadena giratoria,Cadenas giratorias
泰旖丝,#REF!,丰穰之仪,Ritual of Abundance,Ritual de la Abundancia,Ceremonia de la Abundancia,Ritual de la Abundancia
泰旖丝,#REF!,圣血指引,Guidance of Holy Blood,Guía de la Santa Sangre,Guía de la Santa Sangre,Guía de la Santa Sangre
泰旖丝,#REF!,连绵的本能,Instinct of Continuity,Instinto de Continuidad,Instinto continuo,Instinto de Continuidad
泰旖丝,#REF!,伟大的牺牲,Great Sacrifice,Gran Sacrificio,Gran Sacrificio,Gran Sacrificio
萨尔瓦多,#REF!,造主的庇佑,Creator's Blessing,Bendición del Creador,Bendición del Creador,Bendición del Creador
萨尔瓦多,#REF!,「惩恶」,"""Devotion""","""Devoción""",Castigar el mal,"""Devoción"""
萨尔瓦多,#REF!,神圣骨血,Sacred Bone Flesh,Carne de hueso sagrada,Hueso y sangre sagrados,Sangre y Huesos Sagrados
萨尔瓦多,#REF!,「审判」,"""Judgment""","""Juicio""",Juicio,"""Juicio"""
索蕾尔,#REF!,权欲轮舞,Carousel of Ambition,Carrusel de la ambición,Rondo de poder,Carrusel de la ambición
索蕾尔,#REF!,踏血而来,Arrival Through Blood,Llegada a través de la sangre,Caminando sobre sangre,Caminando sobre sangre
索蕾尔,#REF!,腐烂瑰香,Scent of Rotten Rose,Aroma de rosa podrida,Fragancia de rosa podrida,Fragancia de rosa podrida
索蕾尔,#REF!,隐秘的荆棘,Hidden Thorns,Espinas ocultas,Espinas ocultas,Espinas ocultas
阿格里帕,#REF!,苍白的庇佑,Pale Blessing,Bendición pálida,Bendición pálida,Bendición pálida
阿格里帕,#REF!,迷宫陷阱,Maze Trap,Trampa del laberinto,Trampa del laberinto,Trampa de laberinto
阿格里帕,#REF!,蛛丝缠绕,Entwined Silk,Seda entrelazada,Enredo de seda de araña,Seda entrelazada
阿格里帕,#REF!,缚网绞杀,Web Strangulation,Estrangulación web,estrangulación por red de ataduras,Estrangulamiento de Telaraña
艾继丝,#REF!,万古之眸,Eye of Eternity,Ojo de la Eternidad,Ojos de la eternidad,Ojo de la Eternidad
艾继丝,#REF!,小小守护者,Little Guardian,Pequeño guardián,Pequeño guardián,Pequeño guardián
艾继丝,#REF!,硬化石肤,Hardened Stone Skin,Piel de piedra endurecida,Piel de piedra endurecida,Piel de piedra endurecida
艾继丝,#REF!,虚弱凝视,Weakness Gaze,Mirada de debilidad,Mirada débil,Mirada de debilidad
菲茵特,#REF!,星之摇篮,Cradle of Stars,Cuna de las estrellas,Cuna de las estrellas,Cuna de las estrellas
菲茵特,#REF!,异常引力,Anomalous Gravity,Gravedad anómala,Gravedad anormal,Gravedad anormal
菲茵特,#REF!,猛烈生长,Vigorous Growth,Crecimiento vigoroso,Crecimiento rápido,Crecimiento vigoroso
菲茵特,#REF!,星彩拟态,Starborn Mimic,Mímico nacido en las estrellas,Mimetismo astral,Mimetismo astral
希莱斯特,#REF!,不死的极乐鸟,Undying Bird of Paradise,Ave del paraíso inmortal,Ave del paraíso inmortal,Ave del paraíso inmortal
希莱斯特,#REF!,彼岸信标,Farshore Beacon,Faro de Farshore,Faro de la otra orilla,Faro de la otra orilla
希莱斯特,#REF!,理想乡的祝福,Blessing of Utopia,Bendición de la utopía,Bendiciones de la utopía,Bendición de la utopía
希莱斯特,#REF!,纯白涟漪,Pure White Ripples,Ondas blancas puras,Ondas blancas puras,Ondas blancas puras
凯刻斯,#REF!,承自异端之血,Bloodline of Heresy,Linaje de la Herejía,Heredado de la sangre de los herejes,Linaje de la Herejía
凯刻斯,#REF!,渊血迸发,Blood Surge,Oleada de sangre,Explosión de sangre,Explosión de sangre
凯刻斯,#REF!,逆鳞反制,Scale Counter,Contador de escala,Contraataque de escala inversa,Contador de escala
凯刻斯,#REF!,鳞刺打击,Scaled Strike,Golpe a escala,Golpe a escala,Golpe a escala
奥瑞塔,#REF!,喧嚣海洋,Clamorous Ocean,Océano clamoroso,Océano rugiente,Océano clamoroso
奥瑞塔,#REF!,海月赐苦,Jellyfish's Bitter Gift,El amargo regalo de las medusas,Amargura de medusas,Amargura de medusas
奥瑞塔,#REF!,双向触刺,Dual Piercer,Perforador doble,Punción bidireccional,Punción bidireccional
奥瑞塔,#REF!,腺体重构,Gland Reconstruction,Reconstrucción de glándulas,Remodelación glandular,Remodelación glandular
法洛思,#REF!,遗失的久远之城,Lost City of Lemuria,Ciudad perdida de Lemuria,La ciudad perdida hace mucho tiempo,Ciudad perdida de Lemuria
法洛思,#REF!,暗流微光,Undercurrent's Glimmer,El destello de Undercurrent,Destello subterráneo,Destello subterráneo
法洛思,#REF!,逐火飞虫,Firefly,Luciérnaga,Luciérnaga,Luciérnaga
法洛思,#REF!,湮塞宝藏,Buried Treasure,Tesoro enterrado,Tesoro perdido,Tesoro perdido
珊,#REF!,失落的艺术,The Lost Art,El arte perdido,El arte perdido,El arte perdido
珊,#REF!,珊瑚螺旋,Coral Spiral,Espiral de coral,Espiral de coral,Espiral de coral
珊,#REF!,艺术狂热,Artistic Frenzy,Frenesí artístico,Fiebre del arte,Frenesí artístico
珊,#REF!,无尽的雕琢,Endless Refinement,Refinamiento sin fin,Talla sin fin,Refinamiento sin fin
弥利亚姆,#REF!,向深渊祝祷,Pray to the Abyss,Orar al abismo,Oración al abismo,Oración al abismo
弥利亚姆,#REF!,深海之咒,Abyssal Curse,Maldición abisal,La maldición de las profundidades marinas,Maldición abisal
弥利亚姆,#REF!,泡影,Transient Illusion,Ilusión transitoria,Burbuja,Ilusión transitoria
弥利亚姆,#REF!,湮灭预言,Prophecy of Oblivion,Profecía del olvido,Profecía de aniquilación,Profecía del olvido
墨菲,#REF!,虚妄继承者,Delusion's Heir,El heredero del delirio,Falso heredero,Heredero del delirio
墨菲,#REF!,受赐者的权柄,Authority of the Chosen,Autoridad de los Elegidos,Autoridad del concesionario,Autoridad de los Elegidos
墨菲,#REF!,螺湮的礼物,The Gift of Lemuria,El regalo de Lemuria,El regalo de Luo Yan,Regalo de Lemuria
墨菲,#REF!,不屈的宣告,Defiant Proclamation,Proclamación desafiante,Declaración inquebrantable,Proclamación desafiante
戈利亚,#REF!,海渊之力,Abyssal Depths' Power,El poder de las profundidades abisales,El poder del abismo,Poder de las profundidades abisales
戈利亚,#REF!,狂战突袭,Berserk Assault,Asalto Berserk,Asalto berserker,Asalto de Berserker
戈利亚,#REF!,非利士式闪击,Philistine Blitz,Bombardeo filisteo,Bombardeo filisteo,Bombardeo filisteo
戈利亚,#REF!,巨刃重杀,Colossus Blade Execution,Ejecución de la Espada Coloso,Muerte pesada con espada gigante,Ejecución de la Espada Gigante
图鲁,#REF!,星辰正位之刻,When the Stars Are Right,Cuando las estrellas están en lo cierto,Cuando las estrellas están en posición vertical,Cuando las estrellas están en posición
图鲁,#REF!,螺湮守护,Spiral Guardian,Guardián espiral,Guardián Luo Yan,Guardián espiral
图鲁,#REF!,万古震慑,Eternal Reverberation,Reverberación eterna,Choque eterno,Reverberación eterna
图鲁,#REF!,王权之威,Monarch's Authority,Autoridad del Monarca,El poder del rey,Autoridad del Monarca
宁菲亚,#REF!,自我的葬仪,Passage of the Ego,El paso del ego,Funeral del yo,Funeral Propio
宁菲亚,#REF!,毒发,Poison Eruption,Erupción venenosa,Veneno,Veneno
宁菲亚,#REF!,海洋毒素,Ocean Toxin,Toxina oceánica,Toxinas marinas,Toxinas marinas
宁菲亚,#REF!,溺毒弥漫,Toxic Miasma,Miasma tóxico,El envenenamiento por ahogamiento está muy extendido,Miasma tóxico
诺缔拉,#REF!,整装待发,Ready and Set,Listos y preparados,Listo para ir,Listos y preparados
诺缔拉,#REF!,锈蚀扳手,Rusty Wrench,Llave inglesa oxidada,Llave inglesa oxidada,Llave inglesa oxidada
诺缔拉,#REF!,工具套组,Tool Kit,Kit de herramientas,Juego de herramientas,Kit de herramientas
诺缔拉,#REF!,命运工匠,Artisan of Fate,Artesano del Destino,Artesano del destino,Artesano del Destino
「24」,24,扭曲的死体狂宴,Twisted Carrion Revel,Revelación de carroña retorcida,Festín de cadáveres retorcidos,Festín de cadáveres retorcidos
「24」,24,人格污染,Soul Contamination,Contaminación del alma,Contaminación de la personalidad,Contaminación del alma
「24」,24,狂乱撕裂,Frenzied Rend,Desgarro frenético,Desgarro frenético,Desgarro frenético
「24」,24,污秽风暴,Corrupted Storm,Tormenta corrupta,Tormenta sucia,Tormenta corrupta
潘狄娅,#REF!,蜜糖色悲惨幻象,Honey-Colored Tragedy,Tragedia color miel,Ilusión trágica color miel,Tragedia color miel
潘狄娅,#REF!,无上的喜悦,Supreme Ecstasy,Éxtasis supremo,Alegría suprema,Éxtasis supremo
潘狄娅,#REF!,无尽的空虚,Endless Emptiness,Vacío infinito,Vacío sin fin,Vacío infinito
潘狄娅,#REF!,享受疼痛,Embrace the Pain,Abraza el dolor,Disfruta el dolor,Abraza el dolor
艾尔瓦,#REF!,无止境的正义,Endless Justice,Justicia sin fin,Justicia sin fin,Justicia sin fin
艾尔瓦,#REF!,防御姿态,Defensive Stance,Postura defensiva,Postura defensiva,Postura defensiva
艾尔瓦,#REF!,正义裁决,Judgment of Justice,Sentencia de Justicia,Justicia,Sentencia de Justicia
艾尔瓦,#REF!,战地守护,Battlefield Guardian,Guardián del campo de batalla,Guardián del campo de batalla,Guardián del campo de batalla
艾尔瓦,#REF!,心眼打击,Insight Strike,Huelga de conocimiento,Infarto de miocardio,Golpe de inspiracción
珈伦,#REF!,客官请慢用！,Here's Your Meal!,¡Aquí está tu comida!,"¡Disfrute su comida, señor!","¡Disfrute su comida, señor!"
珈伦,#REF!,创意甜品,Creative Desserts,Postres creativos,Postres creativos,Postres creativos
珈伦,#REF!,食材补充,Restock Ingredients,Ingredientes de reposición,Complemento alimenticio,Complemento alimenticio
珈伦,#REF!,滋补炖菜,Nourishing Stew,Estofado nutritivo,Guisos nutritivos,Estofado nutritivo
莉莉,#REF!,淤泥上的不灭之花,Undying Flower Upon Slime,Flor inmortal sobre limo,La eterna flor en el barro,Flor inmortal sobre Lodo
莉莉,#REF!,疼痛转化,Pain Conversion,Conversión del dolor,Conversión del dolor,Conversión del dolor
莉莉,#REF!,重塑疗愈,Reshape Healing,Remodelar la curación,Remodelar la curación,Remodelar la curación
莉莉,#REF!,报偿打击,Strike to Protect,Huelga para proteger,Huelga compensatoria,Golpe de Represalia
莱克,#REF!,肆意豪赌,All-in!,¡Todo incluido!,Juego imprudente,All-in!
莱克,#REF!,杠杆投机,Leveraged Speculation,Especulación apalancada,especulación apalancada,Especulación apalancada
莱克,#REF!,十环出牌！,"Ten Rings, Play!","Diez anillos, ¡a jugar!",¡Juegan los diez anillos!,"Diez anillos, ¡a jugar!"
莱克,#REF!,牌桌把戏,Card Tricks,Trucos de cartas,Trucos de mesa,Trucos de mesa
莉兹,#REF!,告死之舞,Dance to Destruction,Bailar hasta la destrucción,Danza de la muerte,Danza de la muerte
莉兹,#REF!,黎明氦闪,Helium Flash,Flash de helio,Destello de helio del amanecer,Destello de helio
莉兹,#REF!,翠星坠落,Emerald Starfall,Lluvia de estrellas esmeralda,Estrella verde fugaz,Lluvia de estrellas esmeraldas
莉兹,#REF!,护身绿炎,Guardian Green Flames,Llamas verdes guardianas,Llama verde protectora,Llama verde protectora
旺达,#REF!,死梦之都,Necropolis of Dreams,Necrópolis de los sueños,Ciudad de los sueños muertos,Necrópolis de los sueños
旺达,#REF!,迷途梦引,Lost Dream's Guide,Guía del sueño perdido,Guía de sueños perdidos,Guía de sueños perdidos
旺达,#REF!,活尸之墙,Wall of Corpses,Muro de cadáveres,Muro de los Zombies,Muro de cadáveres
旺达,#REF!,脊刺,Spine Needle,Aguja de columna,espinas,Espina Dorsal
达芙黛尔,#REF!,原质之海,Sea of Primordial Essence,Mar de Esencia Primordial,Mar de Esencia,Mar de Esencia Primordial
达芙黛尔,#REF!,千面重叠,Visages Overlay,Superposición de rostros,Miles de caras superpuestas,Superposición de rostros
达芙黛尔,#REF!,维度追猎,Dimension Pursuit,Persecución de dimensiones,Caza de dimensiones,Persecución de dimensiones
达芙黛尔,#REF!,魂灵追击,Hunt for Lost Souls,La caza de las almas perdidas,Persecución del alma,Persecución del alma
汀克特,#REF!,星彩极光,Starlight Aurora,Aurora de luz estelar,Aurora estrellada,Aurora de luz estelar
汀克特,#REF!,复苏之音,Echo of Revival,Eco del avivamiento,Sonido de recuperación,Sonido del Renacer
汀克特,#REF!,哀歌,Dirge,Endecha,Lamento,Lamento
汀克特,#REF!,穿云引吭,Cloud-Piercing Cry,Grito que atraviesa las nubes,Perforando las nubes,Alzar la voz atravesando las nubes
温柯尔,#REF!,无形迁移,Formless Shifting,Cambio sin forma,Migración invisible,Migración invisible
温柯尔,#REF!,防御射线,Defensive Beam,Rayo defensivo,Rayo de defensa,Rayo defensivo
温柯尔,#REF!,光学防护,Optical Protection,Protección óptica,Protección óptica,Protección óptica
温柯尔,#REF!,量子催化,Quantum Catalysis,Catálisis cuántica,Catálisis cuántica,Catálisis cuántica
奥尔拉,#REF!,哀恸浓墨,Grieving Ink,Tinta de duelo,Tinta de luto,Tinta de duelo
奥尔拉,#REF!,死亡诗篇,Death Psalm,Salmo de muerte,Poemas sobre la muerte,Salmo de muerte
奥尔拉,#REF!,灵魂诗篇,Soul Psalm,Salmo del alma,Poemas del alma,Salmo del alma
奥尔拉,#REF!,生命诗篇,Life Psalm,Salmo de vida,Poema de la vida,Salmo de vida
詹金,#REF!,雾都街童,Mistborn Street Urchin,Erizo de la calle nacido en la bruma,Niños de la calle,Muchachos callejeros de la ciudad brumosa
詹金,#REF!,三棱利刺,Triangular Spike,Espiga triangular,Espina afilada de tres filos,Espina afilada de tres filos
詹金,#REF!,街头伙伴,Street Buddy,Compañero de la calle,Socios de la calle,Compañero de la calle
詹金,#REF!,鼠群之王,King of the Rat Swarm,Rey del enjambre de ratas,Rey Rata,Rey de los ratones
詹金,#REF!,染疫小鼠,Infected Mice,Ratones infectados,ratones infectados,Ratones infectados
詹金,#REF!,带电小鼠,Electric Mice,Ratones eléctricos,Ratón cargado,Ratones electrificados
詹金,#REF!,失智小鼠,Dementia Mice,Ratones con demencia,Ratones con demencia,Ratones con demencia
艾瑞卡,#REF!,电磁爆破,Electromagnetic Blast,Explosión electromagnética,explosiones electromagnéticas,Explosión electromagnética
艾瑞卡,#REF!,超载电流,Overload Current,Corriente de sobrecarga,Corriente de sobrecarga,Corriente de sobrecarga
艾瑞卡,#REF!,机械壁垒,Mechanical Barrier,Barrera mecánica,Barreras mecánicas,Barrera mecánica
艾瑞卡,#REF!,力场防护,Force Field Protection,Protección del campo de fuerza,Protección del campo de fuerza,Protección del campo de fuerza
卡茜亚,#REF!,魔术嘉年华,Magic Carnival,Carnaval mágico,Carnaval mágico,Carnaval mágico
卡茜亚,#REF!,魔术师的库藏,Magician's Treasury,El tesoro del mago,El tesoro del mago,El tesoro del mago
卡茜亚,#REF!,过手洗牌,Quickhand Shuffle,Barajado rápido,Barajar,Barajar
卡茜亚,#REF!,祝福魔术币,Magic Coin of Blessing,Moneda mágica de bendición,Moneda mágica de bendición,Moneda mágica de bendición
卡茜亚,#REF!,白鸽手帕,Dove-Embroidered Kerchief,Pañuelo bordado con palomas,Pañuelo de paloma blanca,Pañuelo de la paloma blanca
卡茜亚,#REF!,反向分体魔术盒,Reverse Split Magic Box,Caja mágica dividida al revés,Caja mágica dividida al revés,Caja mágica inversa
卡茜亚,#REF!,心灵感应话筒,Telepathy Microphone,Micrófono de telepatía,Micrófono telepático,Micrófono telepático
卡茜亚,#REF!,兔子礼帽,Rabbit Top Hat,Sombrero de copa de conejo,Sombrero de conejo,Sombrero de conejo
卡茜亚,#REF!,狂言魔术牌,Bluff Magic Card,Carta mágica de faroleo,Cartas mágicas de Kyogen,Carta mágica burlona
哈姆林,#REF!,命运四重奏,Fate Quartet,Cuarteto del destino,Cuarteto del destino,Cuarteto del destino
哈姆林,#REF!,田园和声,Pastoral Harmony,Armonía pastoral,Armonía pastoral,Armonía pastoral
哈姆林,#REF!,惊愕强音,Stunning Tone,Tono impresionante,Sonido impactante,Tono impactante
哈姆林,#REF!,悲怆弱音,Melancholy Tone,Tono melancólico,triste lloriqueo,Tono Melancolico
塔薇,#REF!,万物归一,Omnifex Convergence,Convergencia Omnifex,Todas las cosas vuelven a uno,Convergencia Omnifex
塔薇,#REF!,全一传承,Unified Legacy,Legado unificado,Herencia todo en uno,Legado unificado
塔薇,#REF!,超脱与回溯,Transcendence and Reminiscence,Trascendencia y reminiscencia,Trascendencia y retrospección,Trascendencia y reminiscencia
塔薇,#REF!,隐于时隙,Hidden in the Time Rift,Oculto en la grieta del tiempo,Oculto en el tiempo,Oculto en la grieta del tiempo
熔毁·朵尔,#REF!,终点、真理与深渊之门,"Terminal, Gateway of Truth and Abyss","Terminal, Puerta de la Verdad y del Abismo","El fin, la verdad y la puerta al abismo","El fin, la verdad y la puerta del abismo"
熔毁·朵尔,#REF!,天才的远见,Genius' Foresight,La previsión del genio,La visión del genio,La visión del genio
熔毁·朵尔,#REF!,特殊制剂,Special Preparation,Preparación especial,preparaciones especiales,Preparación especial
熔毁·朵尔,#REF!,人性观察实验,Humanity Observation Trial,Prueba de observación de la humanidad,Experimento de observación de la naturaleza humana,Prueba de observación de la humanidad
熔毁·朵尔,#REF!,推算,Deduction,Deducción,Cálculo,Deducción
熔毁·朵尔,#REF!,奇袭,Ambush,Emboscada,ataque sorpresa,Emboscada
熔毁·朵尔,#REF!,肾上腺素,Adrenaline,Adrenalina,adrenalina,Adrenalina
熔毁·朵尔,#REF!,伤害抗体,Damage Antibody,Anticuerpo de daño,Anticuerpos dañinos,Anticuerpos dañinos
熔毁·朵尔,#REF!,拯救计划,Rescue Plan,Plan de rescate,Plan de rescate,Plan de rescate
熔毁·朵尔,#REF!,毁灭计划,Destruction Plan,Plan de destrucción,Plan de destrucción,Plan de destrucción
熔毁·朵尔,#REF!,液化虚无,Liquefied Illusion,Ilusión licuada,Nada licuada,Ilusión licuada
克莱门汀,#REF!,生命重构治疗,Lifeform Reconstruction,Reconstrucción de formas de vida,Terapia de reconstrucción de la vida,Tratamiento de reestructuración vital
克莱门汀,#REF!,多重投射,Multiple Projections,Proyecciones múltiples,Proyecciones múltiples,Proyecciones múltiples
克莱门汀,#REF!,心理绞杀,Mindstrangulation,Estrangulación mental,Estrangulamiento psicológico,Estrangulación mental
克莱门汀,#REF!,癫狂催化,Frenzied Catalysis,Catálisis frenética,Catalizador de la locura,Catálisis frenética
克珀珊特,#REF!,照彻渊海的引航,To Sail the Sundered Tides,Navegar por las mareas divididas,Iluminando el océano profundo,Navegación que ilumina abismos y mares
克珀珊特,#REF!,雷暴之怒,Thunderstorm's Wrath,La ira de la tormenta eléctrica,Furia de la tormenta eléctrica,Furia de la tormenta eléctrica
克珀珊特,#REF!,潮汐鼓舞,Tidal Inspiration,Inspiración de marea,Inspiración de marea,Inspiración de marea
克珀珊特,#REF!,冥海之息,Breath of the Abyss,Aliento del abismo,Aliento del inframundo,Aliento del abismo
卡斯托尔,#REF!,不屈的孤嚎鸟,Dirge of the Unbroken,Elegancia de los Inquebrantables,El pájaro aullador inquebrantable,Pájaro aullador inquebrantable
卡斯托尔,#REF!,庇护意志,Oath of Protection,Juramento de protección,Voluntad de proteger,Juramento de protección
卡斯托尔,#REF!,死亡飓风,Storm of the Entombed,Tormenta de los sepultados,Huracán de la muerte,Huracán mortal
卡斯托尔,#REF!,漆黑之雨,The Onyx Rain,La lluvia de ónix,Lluvia oscura,lluvia de ónix
卡斯托尔,#REF!,黑羽,Onyx Plume,Pluma de ónix,Pluma negra,Pluma de ónix
杜勒赛因,Doresain,生灵的盛筵,Necrotic Gala,Gala necrótica,Fiesta de los Vivos,Gala necrótica
杜勒赛因,Doresain,溟梦之帷,Veil of Murmurs,Velo de Murmullos,La cortina de los sueños,Velo de los sueños profundos
杜勒赛因,Doresain,欢愉餍飨,Ravenous Joy,Alegría voraz,Feliz fiesta,Alegría voraz
杜勒赛因,Doresain,魂灵之噬,Eternal Hunger,Hambre eterna,Devorador de almas,Devorador de almas
熟悉的黑猫,Familiar Black Cat,猫猫拳,Feline Strike,Golpe felino,Puño de gato,Golpe felino
,,后发制人,"Strike Last, Strike Best","Golpea al último, golpea mejor",Devolver el golpe,"Golpea último, golpea mejor"
,,幻象,Illusion,Espejismo,fantasma,Espejismo
,,华丽光景,Magnificent Spectacle,Magnífico espectáculo,Hermosos paisajes,Magnífico espectáculo
,,雨颂,Rain's Dirge,El canto fúnebre de la lluvia,Canción de lluvia,Oda a la lluvia
,,风颂,Wind's Psalm,Salmo del viento,Oda al viento,Oda al viento
,,花颂,Floral Hymn,Himno floral,Canción de las flores,Himno floral
,,莉雅的硬币,Leah's Coin,La moneda de Leah,La moneda de Leah,Moneda de Leah
,,灵感,Insight,Conocimiento,inspiración,Inspiración
,,复活,Revival,Renacimiento,Resurrección,Resurrección
,,击杀,Kill,Matar,Matar,Matar
,,蓄力,Charge,Cargar,Cargar,Cargar
,,死斗,Deathmatch,Combate a muerte,Combate a muerte,Combate a muerte
,,力量,Strength,Fortaleza,fortaleza,Fuerza
,,临时力量,Temporary STR,STR temporal,Fuerza temporal,STR temporal
,,力量降低,STR▼,STR▼,Fuerza reducida,STR▼
,,临时力量降低,Temporary STR▼,STR temporal▼,Reducción temporal de la fuerza,STR temporal▼
,,沙包,Sandbag,Saco terrero,sacos de arena,Saco terrero
,,护盾,Shield,Blindaje,Blindaje,Escudo
,,行动封锁,Action Lock,Bloqueo de acción,Bloqueo de acción,Bloqueo de acción
,,狂气,Aliemus,Aliemus,Locura,Aliemus
,,失去狂气,Lose Aliemus,Pierde a Aliemus,Pérdida de la locura,Perdida de Aliemus
,,强效,Amplification,Amplificación,Fuerte,Reduccion
,,强效降低,Amplification▼,Amplificación▼,Fuerte reducción,Reduccion▼
,,强化,Enhance,Mejorar,fortalecer,Mejorar
,,虚弱,Weakness,Debilidad,débil,Debilidad
,,加固,Fortress,Fortaleza,reforzamiento,Fortaleza
,,易伤,Vulnerable,Vulnerable,Vulnerable,Vulnerable
,,重伤,Severe Injury,Lesión grave,Gravemente herido,Heridas Graves
,,嘲讽,Taunt,Pulla,ridículo,Provocar
,,麻痹,Paralysis,Parálisis,parálisis,Parálisis
,,中毒,Poison,Veneno,envenenamiento,Veneno
,,反击,Counter,Encimera,Contraataque,Contraataque
,,昏迷,Fainted,Se desmayó,coma,Desmayo
,,石化,Petrify,Petrificar,petroquímico,Petrificado
,,屏障,Barrier,Barrera,barrera,Barrera
,,缠绕,Entwined,Entrelazados,enredo,Entrelazado
,,迟缓,Stagnation,Estancamiento,lento,Estancamiento
,,空虚,Void,Vacío,vacío,Vacio
,,托乎瓦波装置,Tohuwabohu Observatory,Observatorio Tohuwabohu,Dispositivo de ondas Tohwa,Observatorio Tohuwabohu
,,银钥觉醒,Keyflare Rouse,Keyflare Rouse,El despertar de la llave de plata,Estimular Llave Plateada
,,纯白初遇,Encounter in Pure White,Encuentro en Blanco Puro,Primer Encuentro Blanco Puro,Encuentro en Blanco Puro
,,脑中之音,Voices in Your Head,Voces en tu cabeza,El sonido en el cerebro,Voces en tu cabeza
,,注射守护,Warded Injection,Inyección protegida,Protector de inyección,Inyeccion Protectora
